ParliamentaryConstituency,St/UT,Congress,BJP,BahujanSamaj,Communist(Marxist),Inde-pendent,Samajwadi,TrinamoolCongress,TeluguDesam,NationalistCongress,DMK,Others,Total,"Registered
Electors","Turnout
%"
Adilabad,AP,257181,57931,16471,,46800,,,372268,,,112930,863581,1131430,76.33%
Agra,UP,93373,203697,193982,,11406,141367,,,,,3265,647090,1539747,42.03%
Ahmednagar,MH,,312047,11508,,177134,,,,265316,,20975,786980,1517951,51.84%
Ahmedabad East,GJ,232790,318846,7254,,20499,1000,,,8999,,7999,597387,1411763,42.31%
Ahmedabad West,GJ,285696,376823,8436,,12153,,,,,,6965,690073,1431080,48.22%
Ajmer,RJ,405575,329440,9180,,18981,,,,,,7984,771160,1455339,52.99%
Akbarpur,UP,192549,136907,160506,,16853,114820,,,,,15619,637254,1461050,43.62%
Akola,MH,182776,287526,,,37166,,,,,,231487,738955,1480606,49.91%
Alappuzha,KL,468679,,4813,411044,22416,,,,,,1025,907977,1154779,78.63%
Alathur,KL,366392,53890,3603,387352,13827,,,,,,3512,828576,1102765,75.14%
Aligarh,UP,165776,126988,193444,,18292,176887,,,,,10668,692055,1345351,51.44%
Alipurduars,WB,,199843,14155,,53119,,272068,,,,394549,933734,1229301,75.96%
Allahabad,UP,37028,60997,174511,,34747,209431,,,,,33483,550197,1267492,43.41%
Almora,UL,200824,193874,44616,,15333,,,,5168,,20942,480757,1057379,45.47%
Alwar,RJ,450119,293500,,,12339,499,,,,,6237,762694,1373384,55.53%
Amalapuram,AP,368501,12730,4732,,7675,,,264524,,,365603,1023765,1275281,80.28%
Ambala,HR,322258,307688,188608,,12782,,,,,,35286,866622,1264913,68.51%
Ambedkar Nagar,UP,,226067,259487,,47990,236751,,,,,40515,810810,1495189,54.23%
Amethi,UP,464195,37570,93997,,33497,,,,,,17391,646650,1431788,45.16%
Amravati,MH,,,41775,,102530,,,,,,588187,732492,1423855,51.44%
Amreli,GJ,210349,247666,7672,,39081,6928,,,2318,,10607,524621,1312733,39.96%
Amritsar,PB,385188,392046,11108,,18107,,,,,,8030,814479,1241099,65.63%
Amroha,UP,16878,,170396,,31410,191099,,,,,296582,706365,1173915,60.17%
Anakapalli,AP,369968,18493,6964,,21540,,,317056,,,314133,1048154,1331751,78.70%
Anand,GJ,348655,281337,,,33583,4417,,,6259,,1832,676083,1397162,48.39%
Anandpur Sahib,PB,404836,,118088,17147,16440,3747,,,,,344332,904590,1338593,67.58%
Anantapur,AP,457876,16540,5921,,26214,,,379955,,,113702,1000208,1411460,70.86%
Anantnag,JK,,3918,2676,,9474,2036,,,,,300622,318726,1176474,27.09%
Andaman & Nicobar,AN,72221,75211,789,7190,2561,,,,4696,,7435,170103,265110,64.16%
Aonla,UP,,216503,174353,,18927,208822,,,,,85917,704522,1310878,53.74%
Arakkonam,TN,,,6641,,27114,980,,,,415041,403340,853116,1098645,77.65%
Arambagh,WB,428696,57903,24762,630254,,,,,,,21722,1163337,1374933,84.61%
Arani,TN,396728,,9700,,27949,5178,,,,,401649,841204,1097870,76.62%
Araria,BR,49649,282742,10578,,117660,,,,,,269827,730456,1311225,55.71%
Arrah,BR,20519,,21688,,27234,,,,,,486910,556351,1555122,35.78%
Aruku,AP,360458,23093,24331,168014,63486,,,,,,152985,792367,1182398,67.01%
Arunachal East,AR,115423,46974,,,,,,,,,52535,214932,301173,71.36%
Arunachal West,AR,140443,139129,,,3168,,,,,,2970,285710,434626,65.74%
Asansol,WB,,49646,14490,435161,22021,,362205,,,,10181,893704,1250114,71.49%
Aska,OR,187028,42165,,,28484,,,,,,444203,701880,1286194,54.57%
Attingal,KL,309695,47620,15558,328036,17168,,,,,,4968,723045,1091432,66.25%
Aurangabad,BR,54581,,45173,,33280,,,,,,465275,598309,1376323,43.47%
Aurangabad,MH,222882,,32641,,196047,2305,,,,,277272,731147,1417964,51.56%
Autonomous District,AS,197835,100081,,,10417,,,,9890,,162333,480556,693407,69.30%
Azamgarh,UP,31159,247648,198609,7088,85534,123844,,,,,10981,704863,1578854,44.64%
Badaun,UP,193834,,201202,,26315,233744,,,,,82213,737308,1405695,52.45%
Bagalkot,KA,377826,413272,10978,,54346,,,,2109,,1397,859928,1363051,63.09%
Baghpat,UP,136964,,175611,,13022,45644,,,,,242507,613748,1280602,47.93%
Baharampur,WB,541920,27619,8587,,9195,3076,,,,,361816,952213,1179938,80.70%
Bahraich,UP,160005,71492,121052,,15417,120791,,,,,23944,512701,1246820,41.12%
Balaghat,MP,259140,299959,35203,,47454,29525,,,,,85260,756541,1336535,56.60%
Balasore,OR,313888,219908,6980,,17474,,,,274988,,59024,892262,1269342,70.29%
Ballia,UP,,137740,204094,,22392,276649,,,,,36854,677729,1679029,40.36%
Balurghat,WB,,59741,13977,,13677,,383339,,,,404626,875360,1010257,86.65%
Banaskantha,GJ,289409,279108,11867,,56147,,,,,,9700,646231,1296871,49.83%
Banda,UP,38571,85587,206355,,23154,240948,,,,,24603,619218,1386265,44.67%
Bangalore Central,KA,304944,340162,6363,,24073,,,,,,171440,846982,1901055,44.55%
