Constituency Number,Constituency,Winner,Party,Runner-up,Party,Vote Margin,State,Year
1,Valmiki Nagar,Rajesh Singh,Janata Dal (United),Mukesh Kumar Kushwaha,Rashtriya Janata Dal,14671,Bihar,2010
2,Ramnagar,Bhagirathi Devi,Bharatiya Janata Party,Naresh Ram,Indian National Congress,29782,Bihar,2010
3,Narkatiaganj,Rashmi Verma,Bharatiya Janata Party,Fakrudin Kha,Indian National Congress,20228,Bihar,2010
4,Bagaha,Prabhat Ranjan Singh,Janata Dal (United),Ram Prasad Yadav,Rashtriya Janata Dal,49055,Bihar,2010
5,Lauriya,Vinay Bihari,Independent,Pradeep Singh,Janata Dal (United),10881,Bihar,2010
6,Nautan,Manorma Prasad,Janata Dal (United),Narayan Prasad,Lok Jan Shakti Party,22764,Bihar,2010
7,Chanpatia,Chandra Mohan Rai,Bharatiya Janata Party,Ejaj Hussain,Bahujan Samaj Party,23412,Bihar,2010
8,Bettiah,Renu Devi,Bharatiya Janata Party,Anil Kumar Jha,Independent,28789,Bihar,2010
9,Sikta,Dilip Varma,Independent,Khurshid Urf Firoj Ahamad,Janata Dal (United),8779,Bihar,2010
10,Raxaul,Ajay Kumar Singh,Bharatiya Janata Party,Raj Nandan Rai,Lok Jan Shakti Party,10117,Bihar,2010
11,Sugauli,Ramchandra Sahani,Bharatiya Janata Party,Vijay Prasad Gupta,Rashtriya Janata Dal,12379,Bihar,2010
12,Narkatia,Shyam Bihari Prasad,Janata Dal (United),Yasmin Sabir Ali,Lok Jan Shakti Party,7688,Bihar,2010
13,Harsidhi,Krishana Nandan Paswan,Bharatiya Janata Party,Surendra Kumar Chandra Alias Satish Paswan,Rashtriya Janata Dal,18064,Bihar,2010
14,Govindganj,Meena Dwivedi,Janata Dal (United),Raju Tiwari,Lok Jan Shakti Party,8405,Bihar,2010
15,Kesaria,Sachindra Pd. Singh,Bharatiya Janata Party,Ram Saran Pd. Yadav,Communist Party of India,11683,Bihar,2010
16,Kalyanpur,Razia Khatoon,Janata Dal (United),Manoj Kumar Yadav,Rashtriya Janata Dal,15402,Bihar,2010
17,Pipra,Awadhesh Prasad Kushwaha,Janata Dal (United),Subhodh Yadav,Rashtriya Janata Dal,11887,Bihar,2010
18,Madhuban,Shivjee Rai,Janata Dal (United),Rana Randhir,Rashtriya Janata Dal,10122,Bihar,2010
19,Motihari,Pramod Kumar,Bharatiya Janata Party,Rajesh Gupta Alias Bablu Gupta,Rashtriya Janata Dal,24530,Bihar,2010
20,Chiraia,Laxmi Narayan Pr. Yadav,Rashtriya Janata Dal,Lal Babu Pr. Gupta,Bharatiya Janata Party,628,Bihar,2010
