Sl No,"Constituency
Name","Constituency
Number",Member of Legislative Assembly,Political Party,State,Year
1,Abhayapuri North,34,Bhupen Ray,Asom Gana Parishad,Assam,2011
2,Abhayapuri South,35,Chandan Kumar Sarkar,Indian National Congress,Assam,2011
3,Algapur,8,Sahidul Alam Choudhury,Asom Gana Parishad,Assam,2011
4,Amguri,103,Anjan Dutta,Indian National Congress,Assam,2011
5,Badarpur,5,Jamal Uddin Ahmed,Indian National Congress,Assam,2011
6,Baghbor,45,Sherman Ali Ahmed,All India United Democratic Front,Assam,2011
7,Baithalangso,20,Mansing Rongpi,Indian National Congress,Assam,2011
8,Barama,62,Maneswar Brahma,Bodoland People's Front,Assam,2011
9,Barhampur,87,Prafulla Kumar Mahanta,Asom Gana Parishad,Assam,2011
10,Barkhetri,60,Bhumidhar Barman,Indian National Congress,Assam,2011
11,Barkhola,14,Rumi Nath,Indian National Congress,Assam,2011
12,Barpeta,43,Abdur Rahim Khan,All India United Democratic Front,Assam,2011
13,Batadraba,84,Gautam Bora,Indian National Congress,Assam,2011
14,Bhabanipur,41,Abul Kalam Azad,All India United Democratic Front,Assam,2011
15,Bihali,77,Pallab Lochan Das,Bharatiya Janata Party,Assam,2011
16,Bihpuria,109,Bhupen Kumar Bora,Indian National Congress,Assam,2011
17,Bijni,33,Kamalshing Narzary,Bodoland Peoples Front,Assam,2011
18,Bilasipara East,27,Gul Akhtara Begum,All India United Democratic Front,Assam,2011
19,Bilasipara West,26,Hafiz Bashir Ahmed,All India United Democratic Front,Assam,2011
20,Biswanath,76,Prabin Hazarika,Asom Gana Parishad,Assam,2011
21,Bokajan,17,Klengdoon Engti,Indian National Congress,Assam,2011
22,Bokakhat,93,Arun Phukan,Indian National Congress,Assam,2011
23,Boko,48,Gopi Nath Das,All India United Democratic Front,Assam,2011
24,Bongaigaon,32,Phani Bhusan Choudhury,Asom Gana Parishad,Assam,2011
25,Borchalla,72,Tanka Bahadur Rai,Indian National Congress,Assam,2011
26,Chabua,121,Raju Sahunn,Indian National Congress,Assam,2011
27,Chapaguri,63,Hitesh Basumatary,Bodoland Peoples Front,Assam,2011
28,Chaygaon,49,Rekibuddin Ahmed,Indian National Congress,Assam,2011
29,Chenga,47,Sukur Ali Ahmed,Indian National Congress,Assam,2011
30,Dalgaon,68,Ilias Ali,Indian National Congress,Assam,2011
31,Dergaon,97,Aroti Hazarika Kachari,Indian National Congress,Assam,2011
32,Dhakuakhana,112,Naba Kumar Doley,Asom Gana Parishad,Assam,2011
33,Dharmapur,61,Nilamani Sen Deka,Indian National Congress,Assam,2011
34,Dhekiajuli,71,Habul Chakraborty,Indian National Congress,Assam,2011
35,Dhemaji,113,Sumitra Doley Patir,Indian National Congress,Assam,2011
36,Dhing,83,Aminul Islam,All India United Democratic Front,Assam,2011
37,Dholai,11,Girindra Mallik,Indian National Congress,Assam,2011
38,Dhubri,23,Jahan Uddin,All India United Democratic Front,Assam,2011
39,Dibrugarh,116,Prasanta Phukan,Bharatiya Janata Party,Assam,2011
40,Digboi,123,Rameswar Dhanowar,Indian National Congress,Assam,2011
41,Diphu,19,Bidya Sing Engleng,Indian National Congress,Assam,2011
42,Dispur,52,Akon Bora,Indian National Congress,Assam,2011
43,Doomdooma,125,Dilip Moran,Bharatiya Janata Party,Assam,2011
44,Dudhnoi,36,Sib Charan Basumatary,Indian National Congress,Assam,2011
45,Duliajan,118,Amiya Gogoi,Indian National Congress,Assam,2011
46,Gahpur,78,Smti Monika Bora,Indian National Congress,Assam,2011
47,Gauhati East,53,Capt. Robin Bordoloi.,Indian National Congress,Assam,2011
48,Gauhati West,54,Hementa Talukdar.,Indian National Congress,Assam,2011
49,Gauripur,24,Banendra Kumar Mushahary,Bodoland Peoples Front,Assam,2011
50,Goalpara East,37,Monowar Hussain,All India United Democratic Front,Assam,2011
51,Goalpara West,38,Sheikh Shah Alam,All India United Democratic Front,Assam,2011
52,Golaghat,95,Ajanta Neog,Indian National Congress,Assam,2011
53,Golakganj,25,Abu Taher Bepari,Bharatiya Janata Party,Assam,2011
54,Gossaigaon,28,Majendra Narzary,Bodoland Peoples Front,Assam,2011
55,Hailakandi,6,Abdul Muhib Mazumder,Indian National Congress,Assam,2011
56,Hajo,55,Dwipen Pathak,All India Trinamool Congress,Assam,2011
57,Haflong,16,Gobinda Ch. Langthasa,Indian National Congress,Assam,2011
58,Hojai,91,Dr. Ardhendu Kumar Dey,Indian National Congress,Assam,2011
59,Howraghat,18,Khorsing Engti,Indian National Congress,Assam,2011
60,Jagiroad,79,Bibekananda Dalai,Indian National Congress,Assam,2011
61,Jaleswar,39,Moin Uddin Ahmed,All India United Democratic Front,Assam,2011
62,Jalukbari,51,Himanta Biswa Sarma,Indian National Congress,Assam,2011
63,Jamunamukh,90,Mohammed Sirajuddin Ajmal,All India United Democratic Front,Assam,2011
64,Jania,44,Rafiqul Islam,All India United Democratic Front,Assam,2011
65,Jonai,114,Pradan Baruah,Bharatiya Janata Party,Assam,2011
66,Jorhat,98,Rana Goswami,Indian National Congress,Assam,2011
67,Kalaigaon,65,Mukunda Ram Choudhury,Asom Gana Parishad,Assam,2011
68,Kaliabor,89,Keshab Mahanta,Asom Gana Parishad,Assam,2011
69,Kamalpur,56,Jadab Chandra Deka,Bharatiya Janata Party,Assam,2011
70,Karimganj North,3,Kamalakhya Dey Purkayastha,Indian National Congress,Assam,2011
71,Karimganj South,4,Siddeque Ahmed,Indian National Congress,Assam,2011
72,Katigorah,15,Ataur Rahman Mazarbhuiya,All India United Democratic Front,Assam,2011
73,Katlicherra,7,Gautam Roy,Indian National Congress,Assam,2011
74,Khumtai,96,Bismita Gogoi,Indian National Congress,Assam,2011
75,Kokrajhar East,30,Pramila Rani Brahma,Bodoland Peoples Front,Assam,2011
76,Kokrajhar West,29,Pradip Kumar Brahma,Bodoland Peoples Front,Assam,2011
77,Laharighat,81,Dr. Nazrul Islam,Indian National Congress,Assam,2011
78,Lahowal,117,Prithibi Majhi,Indian National Congress,Assam,2011
79,Lakhimpur,111,Utpal Dutta,Asom Gana Parishad,Assam,2011
80,Lakhipur,13,Dinesh Prasad Goala,Indian National Congress,Assam,2011
81,Lumding,92,Swapan Kar,All India United Democratic Front,Assam,2011
82,Mahmara,105,Sarat Saikia,Indian National Congress,Assam,2011
83,Majuli,99,Sri Rajib Lochan Pegu,Indian National Congress,Assam,2011
