hideSl. No:,Constituency,UDF candidate,Party,Votes,LDF candidate,Party,Votes,BJP+ candidate,Votes,Winner,Margin,Winning alliance,State,Year
1,Manjeshwar,P. B. Abdul Razaq,IUML,49817,C. H. Kunjambu,CPI(M),35067,K. Surendaran,43989,P. B. Abdul Razaq,5828,UDF,Kerala,2011
2,Kasargod,N. A. Nellikunnu,IUML,53068,Azeez Kadappuram,INL,16467,Jayalakshmi N. Bhatt,43330,N. A. Nellikunnu,9738,UDF,Kerala,2011
3,Uduma,C. K. Sreedharan,INC,50266,K Kunhiraman,CPI(M),61646,B. Sunitha,13073,K Kunhiraman,11380,LDF,Kerala,2011
4,Kanhangad,M. C. Jose,INC,54462,E. Chandrasekharan,CPI,66640,Maddikkai Kummaran,15543,E. Chandrasekharan,12178,LDF,Kerala,2011
5,Thrikkaripur,K. V. Gangadharan,INC,59106,K. Kunjiraman,CPI(M),67871,T. Radhakrishnan,5450,K. Kunjiraman,8765,LDF,Kerala,2011
6,Payyannur,K. Brijeshkumar,INC,45992,C. Krishnan,CPI(M),78116,C. K. Rameshan,5019,C.Krishnan,32124,LDF,Kerala,2011
7,Kalliasseri,P. Indira,INC,43244,T. V. Rajesh,CPI(M),73190,Sreekanth Varma,5499,T. V. Rajesh,29946,LDF,Kerala,2011
8,Taliparamba,Job Michael,KC(M),53170,James Mathew,CPI(M),81031,K. Jayaprakash,6492,James Mathew,27861,LDF,Kerala,2011
9,Irikkur,K. C. Joseph,INC,68503,P. Santhosh Kumar,CPI,56746,M. G. Ramakrishnan,3529,K. C. Joseph,11757,UDF,Kerala,2011
10,Azhikode,K. M. Shaji,IUML,55077,M. Prakasan,CPI(M),54584,M. K. Saseendran,7540,K. M. Shaji,493,UDF,Kerala,2011
11,Kannur,A. P. Abdullakutty,INC,55427,Kadannapalli Ramachandran,Congress(S),48984,U. T. Jayanthan,4568,A. P. Abdullakutty,6443,UDF,Kerala,2011
12,Dharmadam,Mambaram Divakaran,INC,57192,K. K. Narayanan,CPI(M),72354,C. P. Sangeetha,4963,K. K. Narayanan,15162,LDF,Kerala,2011
13,Thalassery,Rijil Makutty,INC,40361,Kodiyeri Balakrishnan,CPI(M),66870,V. Ratnakaran,6973,Kodiyeri Balakrishnan,26509,LDF,Kerala,2011
14,Kuthuparamba,K. P. Mohanan,SJD,57164,Syed Ali Puthiya Valappil,INL (Independent),53861,O. K. Vasu,11835,K. P. Mohanan,3303,UDF,Kerala,2011
15,Mattannur,Joseph Chavara,SJD,44665,E. P. Jayarajan,CPI(M),75177,Biju Elakuzhi,8707,E. P. Jayarajan,30512,LDF,Kerala,2011
16,Peravoor,Sunny Joseph,INC,56151,K. K. Shylaja,CPI(M),52711,P. K. Velayudhan,4055,Sunny Joseph,3440,UDF,Kerala,2011
17,Mananthavady (ST),P. K. Jayalakshmi,INC,62996,K. C. Kunjiraman,CPI(M),50262,E. Kunjaman,5732,P. K. Jayalakshmi,12734,UDF,Kerala,2011
18,Sulthanbathery (ST),I. C. Balakrishnan,INC,71509,E. A. Shankaran,CPI(M),63926,Palliyara Raman,8829,I. C. Balakrishnan,7583,UDF,Kerala,2011
